"domain";"phylum";"class";"order";"family";"genus";"species"
"OTU_10329";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_1033";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";NA;NA
"OTU_10338";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bog-159";NA
"OTU_10339";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"UBA7541";NA
"OTU_10340";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"OTU_10341";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_10353";"Bacteria";"Acidobacteriota";"UBA6911";"UBA6911";"UBA6911";"Gp18-AA60";NA
"OTU_10354";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"S36-B12";"S36-B12";NA
"OTU_10356";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_10365";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"OTU_10366";"Bacteria";"Firmicutes_C";"Negativicutes";"Veillonellales";"Megasphaeraceae";"Megasphaera";NA
"OTU_10367";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella";NA
"OTU_10368";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_10369";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"OTU_1037";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10377";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";NA;NA
"OTU_10379";"Bacteria";"Desulfobacterota";"Desulfomonilia";"Desulfomonilales";"Desulfomonilaceae";"Desulfomonile";NA
"OTU_10380";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_1039";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium";NA
"OTU_10392";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";NA;NA
"OTU_10393";"Bacteria";"Acidobacteriota";"Blastocatellia";"Pyrinomonadales";"Pyrinomonadaceae";NA;NA
"OTU_10394";"Bacteria";"Acidobacteriota";"Blastocatellia";"Pyrinomonadales";"Pyrinomonadaceae";"OLB17";NA
"OTU_10395";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_10397";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Paludisphaera";NA
"OTU_10398";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Methylobacterium";NA
"OTU_10399";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10405";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Paludisphaera";NA
"OTU_10406";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"UBA11063";"UBA11063";NA
"OTU_10407";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_10408";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_10418";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_10419";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Palsa-1447";NA
"OTU_1042";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;NA
"OTU_1043";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Nitrosomonadaceae";"Nitrosospira";NA
"OTU_10435";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_10436";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_10437";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_10438";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA;NA
"OTU_10449";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"GWC2-71-9";NA;NA
"OTU_1045";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";"Bog-209";NA
"OTU_10451";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10452";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"Chthoniobacteraceae";"Chthoniobacter";NA
"OTU_10459";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_1046";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_10469";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"OTU_1047";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"NS-4";"SCTG01";NA
"OTU_10476";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bog-159";NA
"OTU_1048";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"PCC-6307";"Cyanobiaceae";NA;NA
"OTU_10481";"Bacteria";"Bacteroidota";"UBA10030";"UBA10030";"UBA6906";NA;NA
"OTU_10482";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"UBA11361";NA
"OTU_1049";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA;NA
"OTU_10492";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"UBA7541";NA
"OTU_10494";"Bacteria";"Patescibacteria";"ABY1";"BM507";"UBA12465";"UBA12465";NA
"OTU_10496";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_105";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"Nanopelagicaceae";NA;NA
"OTU_10505";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_10506";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";"Sediminibacterium";NA
"OTU_10508";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"UBA10450";NA;NA
"OTU_10528";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";"PALSA-555";"PALSA-555";NA
"OTU_10530";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Microcystaceae";"Microcystis";NA
"OTU_10533";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"UBA11063";"UBA11063";NA
"OTU_1054";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";"Gaiella";NA
"OTU_10543";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_10544";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Novosphingobium";NA
"OTU_10545";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10546";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_10547";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylomonadaceae";NA;NA
"OTU_10548";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_10557";"Bacteria";"Acidobacteriota";"Holophagae";"Holophagales";"Holophagaceae";"Holophaga";NA
"OTU_10558";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptosporangiales";"Streptosporangiaceae";NA;NA
"OTU_10559";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";"GWA1-52-35";NA
"OTU_10563";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptosporangiales";"Streptosporangiaceae";NA;NA
"OTU_10575";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"VCDI01";NA
"OTU_10576";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_1058";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Methylococcales";"Methylomonadaceae";NA;NA
"OTU_10583";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_10584";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7540";"UBA7540";"UBA7540";NA
"OTU_10585";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";NA;NA
"OTU_10586";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Acidimicrobiales";"RAAP-2";"Bog-756";NA
"OTU_10587";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Weissella";NA
"OTU_10588";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"VAZQ01";NA
"OTU_10590";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10610";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";NA
"OTU_10611";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";NA;NA
"OTU_10612";"Bacteria";"Chloroflexota";"Dehalococcoidia";"UBA2979";"UBA2979";NA;NA
"OTU_10613";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"CF-154";NA
"OTU_10614";"Bacteria";"Desulfobacterota";"Syntrophobacteria";"Syntrophobacterales";"Syntrophobacteraceae";"SbD1";NA
"OTU_10616";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Phenylobacterium";NA
"OTU_10617";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"B12";NA
"OTU_1062";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptosporangiales";"Streptosporangiaceae";"Bog-532";NA
"OTU_10623";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";NA;NA
"OTU_1063";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_10637";"Bacteria";"Chloroflexota";"Dehalococcoidia";"Dehalococcoidales";"Dehalococcoidaceae";"SURF-27";NA
"OTU_10638";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"UBA1268";NA;NA
"OTU_10639";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_1064";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";"PALSA-555";"PALSA-555";NA
"OTU_10645";"Bacteria";"Desulfobacterota";"Desulfuromonadia";"Geobacterales";"Pseudopelobacteraceae";NA;NA
"OTU_10646";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_10647";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10648";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_10653";"Bacteria";"Armatimonadota";"Fimbriimonadia";"Fimbriimonadales";"Fimbriimonadaceae";NA;NA
"OTU_10656";"Bacteria";"Patescibacteria";"Paceibacteria";"2-02-FULL-40-12";"GWA2-44-9";"2-01-FULL-41-21";NA
"OTU_10667";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA;NA
"OTU_10676";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_10679";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"GWC2-71-9";"Palsa-1233";NA
"OTU_10689";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";NA;NA
"OTU_1069";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_10690";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Microcystaceae";NA;NA
"OTU_10692";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_107";"Bacteria";"Methylomirabilota";"Methylomirabilia";"Rokubacteriales";"GWA2-73-35";NA;NA
